vowels,name,link,subtitle,blurb,AskDmitri
IUEAO,Michu Meszaros,https://en.wikipedia.org/wiki/Michu_Meszaros,World-famous little person,"Some celebrities are welcome in any endeavor of trivia. MICHU is such a celebrity. When we discovered his last name fit this otherwise uninspiring slot, we quickly upgraded to include him. Dream big in Heaven, little man.", IUEAO Miguel Najdorf 96 Miguel Ramos 90 Miguel Sano 83 Miguel Castro 79 (MLB) Shinsuke Sato 69 Michu Meszaros
IUEOA,King Zu Geng of Shang,https://en.wikipedia.org/wiki/Zu_Geng_of_Shang,King of the Shang Dynasty,"Not always referred to exactly this way, but when he is... he represents a ""Perfect 5"" a 5-word supervocalic with one vowel per word.", IUEOA Miguel Borja 87 Miguel Torga 73 Miguel Rojas 61 Miquel Porta 60 Miguel Rosa 56 Miguel Rojas (MLB)
IUOAE,Linus Roache,https://en.wikipedia.org/wiki/Linus_Roache,"UK actor, <i>Wings of the Dove</i>","Present-day LINUS ROACHE over the similar-feeling British priest and troublemaker TITUS OATES. Quiz: Linus has appeared in numerous movies, and the TV show ""Law and Order"" - but he could make anagrammatic history by appearing in what musical?", IUOAE Titus Oates 94 Linus Roache 89 Sigurd Wongraven 70 Milburn Morante 65 Timur Mohamed 35
IUOEA,Wilbur Joseph Cash,https://www.ncpedia.org/biography/cash-wilbur-joseph,US author <i>Mind of the South</i>,Another tough slot (not so many WILBURs or SIGMUNDs out there). But author W.J. Cash does come through., IUOEA Zigu Ornea 86 Tinus Osendarp 64 Dinu Cocea 44 Mitsuo Senda 41 Sigmund von Erlach 24
OAEIU,Dot da Genius,https://en.wikipedia.org/wiki/Dot_da_Genius,Hip-hop producer with Kid Cudi,"Armed with an EE degree and a cool name, DOT DA GENIUS has made some dope tracks. Hopefully his future resume will bear out his choice as slot-winner here.", OAEIU Horace Lindrum 87 Dot da Genius 80 Ronald Leigh-Hunt 76 Bjorn Afzelius 71 Joanne Liu 55
OAEUI,Constance Cummings,https://en.wikipedia.org/wiki/Constance_Cummings,Tony-winning British/American actress,"Propriety dictates we honor the 50 year stage and screen career of CONSTANCE CUMMINGS, discovered by Shmuel Gelbfisz aka SAMUEL GOLDFISH aka Samuel Goldwyn. Not forgotten in the All-Name category is NFL linebacker VONTAZE BURFICT.", OAEUI Thomaz Bellucci 99 Johann Reuchlin 93 Vontaze Burfict 92 Constance Cummings 90 Song Chang-eui 88
OAIEU,Wolfgang Shivelhurst,https://en.wikipedia.org/wiki/Wolfgang_Schivelbusch,German cultural historian,"WOLFGANG SCHIVELBUSH, at 20 letters, is our longest known 2-word supervocalic name, earning him the slot over former US Rep O. MAXIE BURNS, and UK tug-of-war Olympian THOMAS SWINDLEHURST, and others."," OAIEU Logan Whitehurst 73 Kwok Wai-keung 59 Jordann Pikeur 57 Lorraine Hunt 52 O. Maxie Burns (US Rep, GA) Joanie Stubbs (Deadwood char), Thomas Swindlehurst (UK Tug of War olympian), Wolfgang Schivelbush (Ger. author)"
OAIUE,Rosalind Russell,https://en.wikipedia.org/wiki/Rosalind_Russell,"US actress, 4-time Oscar nominee","Ms. Russell, whose four nods never won her an Oscar, wins the slot here over certain MLB Hall-of-Famer OMAR VIZQUEL", OAIUE Rosalind Russell 99 Omar Vizquel 97 Nora Swinburne 91 John Baptist Purcell 90 Tomas Cibulec 79
OAUEI,John Mauceri,https://en.wikipedia.org/wiki/John_Mauceri,"US conductor, arranger, producer, and musician","JOHN MAUCERI is a towering figure in modern music most of us have not heard of. Musical Director of Candide on Broadway, resurrector of the Hollywood Bowl orchestra, Grammy and Tony winner - he's a stealth superstar for the OAUEI slot. It was either him or golfer OMAR URESTI.", OAUEI John Mauceri 94 Olaus Petri 88 Oscar Ruggeri 88 Thomas Dunn English 82 Tomas Cubelli 82
OAUIE,Rosamund Pike,https://en.wikipedia.org/wiki/Rosamund_Pike,"English actress, Oscar nominee for <i>Gone Girl</i>",ROSAMUND PIKE is one of the small number of inarguable supervocalic superstars who have come along since the writing of the original list., OAUIE Rosamund Pike 97 John Laurie 95 Donald Justice 87 Donald Currie 85 Donald Runnicles 85
OEAIU,Joe Zawinul,https://en.wikipedia.org/wiki/Joe_Zawinul,"US jazz/fusion pianist, Weather Report rounder",No competition here - 16 years of exploratory musical jams earns Weather Report's JOE ZAWINUL the hard-to-fill  OEAIU slot., OEAIU Joe Zawinul 95 Robert Garrigus 90 Mordechai Gur 80 Pope Caius 70 Olegarius 69
OEAUI,Pope Paul VI,https://en.wikipedia.org/wiki/Pope_Paul_VI,Pope 1963–1978,"No serious competition for the Pope here. Of course Pope Paul IV works as well, but he's not as well nkown.", OEAUI Pope Paul VI 100 Pope Paul IV 97 Ornella Muti 91 Moses Austin 87 Robert van Gulik 87
OEIAU,Robert Christgau,https://en.wikipedia.org/wiki/Robert_Christgau,US rock critic/writer,Rock critic ROBERT CHRISTGAU over Oscar winner JOSEPH SCHILDKRAUT? Take your pick., OEIAU Robert Christgau 100 Joseph Schildkraut 91 Roger Birnbaum 82 Scot Breithaupt 76 Robert Briffault 71
OEIUA,Cornelius Hackl,"https://en.wikipedia.org/wiki/Hello,_Dolly!_(musical)",Character in Hello Dolly,"CORNELIUS HACKL is a character in Hello Dolly played in the UK by TUDOR DAVIES and in te US by Charles Nelson Reilly, who also starred in THE GHOST AND MRS MUIR.", OEIUA Chow Mei Kuan 92 Cornelius Grant 73 Lodewijk Bruckman 56 (Dutch magical realism painter) Cornelis Hulsman 53 Cornelius Carr 53 Cornelius Grant
OEUAI,Montezuma I,https://en.wikipedia.org/wiki/Moctezuma_I,Aztec ruler,"Second Aztec leader, who greatly expanded the Empire. On official forms he signed his full name, which was Moteuczomatzin Ilhuicamina Huehuemoteuczoma, and must have involved engraving a lot of quarried stone, perhaps leading to a desire for ""revenge"".", OEUAI Pope Urban VI 95 Moctezuma I 90 Pope Urban IV 90 Joe Kuharich 88 Pope Urban I 82
OEUIA,Robert Mulligan,https://en.wikipedia.org/wiki/Robert_Mulligan,US film director; Oscar nominee (1962),"US director, To Kill a Mockingbird", OEUIA Robert Kubica 99 Robert Guiscard 97 Jose Mujica 96 Robert Mulligan 93 Jose Zuniga 84
OIAEU,John Michael Plumb,https://en.wikipedia.org/wiki/Michael_Plumb,US Equestrian Olympian,"JOHN MICHAEL PLUMB may not be a household name, but he has appeared in more Olympiads than any other US Olympian (5 - not including a boycotted 1980 Olympics), earning him a slot based on ""very cool accomplishment.""", OIAEU Motilal Nehru 92 Noni Hazlehurst 90 Polina Edmunds 89 (Olympic skater) Choi Tae-uk 83 Choi Jae-sung 80 Colin James Munn
OIAUE,Kommissar Hjuler,https://en.wikipedia.org/wiki/Kommissar_Hjuler,"German ""neo dada"" sound and visual artist","It only seemed fair that if you read this far, you should get the fruits of the Beyond Wordplay deep dive, leading to such discoveries as KOMISSAR HJULER (born 'Detlev') and his wife Mama Baer. Enjoy.", OIAUE Oti Mabuse 90 Gopinath Munde 87 Sonia Kruger 87 Kommissar Hjuler 82 Monica Hughes 77
OIEAU,Oliver Warbucks,https://en.wikipedia.org/wiki/Daddy_Warbucks,"""Daddy"" Warbucks, of cartoon and musical fame","The Depression-era tycoon with a heart of gold has become a smooth-headed icon, played by notables from Albert Finney to Jamie Foxx."," OIEAU Robbie Paul 89 Oliver Grau 85 John Prideaux 76 Donnie Dacus 72 Oliver Kraus 71 Floribert Ndjabu (DRC pol) Oliver Warbucks ('Daddy'), Olive Anne Burns (wrote Cold Sassy Tree)"
OIEUA,Robin Ventura,https://en.wikipedia.org/wiki/Robin_Ventura,"MLB 3rd baseman, 1989–2004","ROBIN VENTURA had a solid 16-year major league career mainly with the White Sox and Mets, and was one of the top 3rd basemen of his era. He's 3rd on the all-time supervocalic Home Run list.", OIEUA Robin Ventura 96 Robin Eubanks 87 Collins Mbesuma 85 Scottie Upshall 85 Orville L. Hubbard 82
OIUAE,Holli Ugalde,https://hellskitchen.fandom.com/wiki/Holli_Ugalde,"TV chef, Hell's Kitchen winner","Sometimes it comes down to a reality TV contestant. Such is the case with OIUAE where we meet Gordon Ramsay-approved TV chef Holli Ugalde. We could do worse. Especially, given the other choices are a Czech currency designer, and a Swiss Hockey player.", OIUAE Fozil Musaev 70 Choi Mu-bae 60 Choi Sung-jae 47 John Finucane 47 Oldrich Kulhanek 37 (Czech currency designer) Holli Ugalde (chef/Hell's Kitchen winner)
OIUEA,Xochiquetzal,https://en.wikipedia.org/wiki/Xōchiquetzal,Aztec goddess of fertility,"In the pantheon of supervocalic discoveries, XOCHIQUETZAL reigns supereme. She is also the embodiment of the Divine Feminine and all it represents. Like a true goddess, she nurtures - welcoming not only all vowels, but 3 of the 4 highest-scoring Scrabble tiles others find ""difficult"". And like a working Mom handling kids and groceries, she does this in one solid word, without so much as a space, leading with the rare and sultry ""X"" as if to say ""I got this"". The supervocalic Mother Goddess, watching over the mortal Moctezuma I.", OIUEA Rossif Sutherland 80 Shoji Ueda 75 Corin Curschellas 73 Moritz Gudemann 68 Florin Prunea 62 Xochiquetzal - Aztec goddess of fertility
OUAEI,Douglas Leigh,https://en.wikipedia.org/wiki/Douglas_Leigh,"Sign designer, many NYC landmarks","Another entrant feted for his creations if not his name recognition, DOUGLAS LEIGH was a visionary in the field of ""urban installations"", responsible for some of the most enduring concepts of the 20th century. Not only did he personally oversee the transformation of Times Square into a nocturnal neon extravangza (he once owned One Times Square, where the ball drops each New Years Eve), but he came up with the idea to light up the Empire State Building red, white, and blue during the bicentennial, starting a grand tradition in the process.", OUAEI Douglas Feith 80 Jourdan Lewis 80 Joshua Ferris 75 Mourad Meghni 72 Douglas Evill 70
OUAIE,Count Basie,https://en.wikipedia.org/wiki/Count_Basie,US pianist/band leader,"A towering figure of 20th century music, COUNT BASIE may be the most influential supervocalic of them all.", OUAIE Count Basie 100 Douglas Wilder 95 Doug Aitken 94 Douglas Niles 91 Douglas Wilmer 89
OUEAI,Zhou Enlai,https://en.wikipedia.org/wiki/Zhou_Enlai,First Chinese premier,"First Chinese head of government, under Mao, from 1949 thru 1976, responsible for developing Chinese economy, and advocating peaceful coexistence with the West. Foreign Minister from 1949 thru 1958. Orchestrates Nixon's trip to China, 1972.", OUEAI Zhou Enlai 100 Mouse Davis 85 John Urpeth Rastrick 81 Foued Kadir 65 Zou Dehai 56
OUEIA,Sjoukje Dijkstra,https://en.wikipedia.org/wiki/Sjoukje_Dijkstra,"Womens figure skating Gold Medalist, 1964","With Gold at one Olymics, Silver at another, 5 Eurpean and 6 Dutch figure skating championships, SJOUKJE DIJKSTRA brings a little class to this slot, which is otherwise inhabited by people of less renown.", OUEIA Poul Reichhardt 92 Sjoukje Dijkstra 81 Cobus Reinach 80 Hou Dejian 73 Lou Tseng-Tsiang 72
OUIAE,Louis Malle,https://en.wikipedia.org/wiki/Louis_Malle,French film director,"LOUIS MALLE was a feature filmmaker and DOCUMENTARIST who directed films in both French and English, including the The Silent World, Atlantic City, Pretty Baby, and Au Revoir Les Enfants. He garnered multiple nominations for Best Director and won the Venice Golden Lion Award twice.", OUIAE John Frusciante 100 Louis Malle 96 Dou Jiande 93 Louis Calhern 92 Louis McLane 92
OUIEA,Louis the Fat,https://encyclopedia2.thefreedictionary.com/Louis+the+Fat,Epithet of King Louis VI of France,"While LOUIS REARD invented the bikini, it was LOUIS THE FAT who really ""let it hang out"". He had put on so much weight that by his 40's he could no longer join the many battles he ordered waged against encroaching Normans and others. His official bio was called ""The Deeds of Louis the Fat"", and that was written by his best friend. But he was strong leader, and strong entry for the OUEIA slot.", OUIEA Pontus Tidemand 94 Louis Menand 85 Louis Delmas 79 Louis Rhead 78 Louise Pratt 76
UAEIO,Gustav Weisskopf,https://en.wikipedia.org/wiki/Gustave_Whitehead,German-American aviation pioneer,"GUSTAV WEISSKOPF (later: WHITEHEAD) was a fasicinating figure who either needed a better Publicist, or to have his momma scold him for telling tales. Meaning he either conquered powered manned flight years before the Wright Brothers, numerous times - tantalizingly leaving eyewitness but no photographic evidence - OR repeatedly lied about the same along with supposed onlookers. His bio is a good read either way.", UAEIO Stuart Elliott 85 Gunnar Heinsohn 77 Gustaf Erikson 75 Susan Weddington 68 Gustave Miklos 66
UAEOI,Suzanne Collins,https://en.wikipedia.org/wiki/Suzanne_Collins,"US author, <i>The Hunger Games<i/>","YA author SUZANNE COLLINS is certainly one of the most commercially successful supervocalic people, having created and written the Hunger Games trilogy. So she probably only barely remembers writing the character FERGUSON DARLING on Clarissa Explains It All.", UAEOI Suzanne Collins 92 Duane Bobick 84 Dunja Vejzovic 72 Luka Celovic 63 Duane Hopkins 62
UAIEO,Juan Diego,https://en.wikipedia.org/wiki/Juan_Diego,"Canonized indigenous Mexican (""San Diego"")","The first canonized indigenous Mexican, JUAN DIEGO - born Cuauhtlatoatzin - is our 3rd entry with a Nahuatl name. He had visions of the Virgin of Guadeloupe which became celbrated worldwide. The name ""Diego"" evolved from a family of names related to ""Jacob"" (San Diego = Santiago > Sant Iago > Iacobus/ Jacobus/Jacob/Yakov/Giacobus/Giacomo/Giacomus/Jacomus/James", UAIEO Juan Diego 94 Juha Mieto 81 Stuart H. Ingersoll 75 Ruban Nielson 69 Bubba Dickerson 68
UAIOE,Chuck Mangione,https://en.wikipedia.org/wiki/Chuck_Mangione,"US jazz flugelhornist, Grammy winner","CHUCK MANGIONE is a JAZZ FLUGELHORNIST. Four decades after its release, not much feels quite as good as Feels So Good (#4, 1978). If only he had titled an album Flugelhorn Magic.", UAIOE Chuck Mangione 95 Stuart Immonen 91 Rhun ap Iorwerth 68 Stuart Gilmore 65 Ruarri Joseph 64
UAOEI,Putra of Perlis,https://en.wikipedia.org/wiki/Putra_of_Perlis,"""Supreme Head"" of Malaysia, 1960-65","PUTRA OF PERLIS was a Malaysian nobleman who was <i>Yang di-Pertuan Agong</i> - i.e. ""Supreme Head"", or ""King"" - of the Malaysian Federation from 1960-65, offering us another head of state - and a cool name.", UAOEI Lucas Foresti 89 Putra of Perlis 88 Luca Morelli 81 Luca Rossetti 73 Buba Corelli 71
UAOIE,Susan Brownmiller,https://en.wikipedia.org/wiki/Susan_Brownmiller,US feminist author,SUSAN BROWNMILLER was an early feminist voice speaking up against gender inequities which still confront us today. Had she been born a few decades earlier no doubt she would have been a WOMENS' SUFFRAGIST., UAOIE Susan Oliver 95 Hugh Lawson White 93 Susan Brownmiller 88 Chua Soi Lek 84 Stuart Rossiter 83
UEAIO,Pudd'nhead Wilson,https://en.wikipedia.org/wiki/Pudd%27nhead_Wilson,Mark Twain character,PUDD'NHEAD WILSON is one popular 19th century novel that dealt honestly with the realities of slavery. Can you name another - even more famous?, UEAIO Bruce Davison 98 Ruben Dario 98 Jules Danilo 92 Bruce Davidson 90 Hubert Harrison 90
UEAOI,Hulett Carlson Smith,https://en.wikipedia.org/wiki/Hulett_C._Smith,Former West Virginia governor,"Sometimes a governorship is all you need to earn a slot. Such is the case with HULETT CARLSON SMiTH. The West Virginia Democrat led a long life, and lives on here as a slot-winner.", UEAOI Bruce Gradkowski 90 NFL QB Gunter Schabowski 85 Ruben Amorim 80 Duke Lacroix 70 Jurgen Grabowski 70 Bruce Margolin (pot lawyer) Hulett Carlson Smith (WV Gov)
UEIAO,Lucretia Mott,https://en.wikipedia.org/wiki/Lucretia_Mott,19th century anti-slavery and womens' rights activist,LUCRETIA MOTT was an early and dedicated abolitionist and WOMENS' SUFFRAGIST., UEIAO Lupe Fiasco 100 Lucretia Mott 96 Quentin Jackson 80 Luke Richardson 79 Ruben Limardo 77
UEIOA,Question Mark,https://en.wikipedia.org/wiki/%3F_and_the_Mysterians,& the Mysterians (his legal name!),"Rudy Martinez, aka QUESTION MARK, led The Mysterians, a band of Mexican-American kids from Michigan, who landed the smash garage rock hit 96 Tears...and that's about it. Nevertheless, a worthy entrant for the UEIOA slot.", UEIOA Guldeniz Onal 54 Shuhei Hotta 52 Shmuel Winograd 45 Ukweli Roach 36 Hussein Dokmak 23
UEOAI,Hubert Rostaing,https://en.wikipedia.org/wiki/Hubert_Rostaing,Jazz clarinetist and saxophonist,"Best known for playing clarinet in Django Reinhardt's quintet, HUBERT ROSTAING began in Algiers, made a name in Paris and scored numerous French films, though you may be most likely to have heard him on any number of Woody Allen film scores."," UEOAI Jules Romains 85 Rubel Hossain 84 Que Ngoc Hai 78 Rutherford Aris 71 Ruperto Chapi 70, Suresh Joachim (Professional record-breaker), Hubert Rostaing (Django Reinhardt clarinetist)"
UEOIA,Duke Robillard,https://en.wikipedia.org/wiki/Duke_Robillard,US rock and blues guitarist,"DUKE ROBILLARD was the longtime frontman for Rhode Island-based Roomful of Blues, issuing dozens of albums, and garnering multiple Grammy nominations. In 1974 they performend with fellow supervocalic COUNT BASIE.", UEOIA Duke Robillard 87 Ruben Rochina 62 Luke Torian 60 Jure Obsivac 58 Gunther von Kirchbach 54
UIAEO,Judith Anderson,https://en.wikipedia.org/wiki/Judith_Anderson,Australian-born Emmy and Tony-winning actress,"Dame JUDITH ANDERSON emigrated to America from Australia and become one of the most accomplished actresses of the 20th century. She was nominated for each of the EGOT awards, winning an Emmy and a Tony. More relevantly, she appeared in 1940's <i>ALL THROUGH THE NIGHT</i>, for the rare ""artist plus the work"" pair.", UIAEO Curtis Granderson 97 Judith Anderson 97 Julian Lennon 97 Justin Masterson 95 Julia Lennon 88
UIAOE,Julia Roberts,https://en.wikipedia.org/wiki/Julia_Roberts,"Actress - 2001 Oscar, Erin Brockovich","The very definition of a modern movie star, JULIA ROBERTS offers a measure of fame that may be approached, but seldom attained. Her breakthrough film was known in some parts of the world as <i>MUJER BONITA</i>.", UIAOE Julia Gorges 100 Julia Roberts 100 Julian Cope 99 Julian Knowle 99 Julian Glover 96
UIEAO,Burrill Bernard Crohn,https://en.wikipedia.org/wiki/Burrill_Bernard_Crohn,"US doctor, named Crohn's disease","A gastroenterologist who identified the disease that bears his name. There are no cool musings on digestive distress, so we are left to wonder why the calf muscle is called the GASTROCNEMIUS. ", UIEAO Justin Pearson 87 Justin Germano 86 Quinn Gleason 86 Lucile Watson 81 Squire Bancroft 81
UIEOA,Justin Leonard,https://en.wikipedia.org/wiki/Justin_Leonard,"US golfer, won 1997 British Open",PGA TOUR WINNER should do the trick., UIEOA Justin Leonard 96 Guthrie Govan 94 Julie Sommars 84 Justine Ozga 83 Luis Mendoza 83
UIOAE,Luis Gonzalez,https://en.wikipedia.org/wiki/Luis_Gonzalez_(outfielder),MLB 5x All-Star,"A 19-year MLB veteran whose game-winning Game 7 hit off of Mariano Rivera clinched the 2001 World Series for the Arizona Diamondbacks, LUIS GONZALEZ is the all-time supervocalic home run leader with 354.", UIOAE Junior Mance 96 Junior Parker 95 Junior Walker 94 Luis Gonzalez 93 Lupino Lane 89 Guido Fawkes
UIOEA,Julio Cesar,"https://en.wikipedia.org/wiki/Júlio_César_(football_goalkeeper,_born_1979)","Brazilian goalie, World Cup winner 20??","Our pick for UIOEA can do double duty. JULIO CESAR was a superstar Brazilian soccer goalie, winning a World Cup in 20??. Julio Cesar is also Spanish for ""Julius Caesar"", offering us another supervocalic world leader.", UIOEA Guido Pella 96 Julio Cesar 96 Guido Crepax 82 Julio Le Parc 82 (modern artist) Junior Eldstal 80 (soccer)
UOAEI,Junko Tabei,https://en.wikipedia.org/wiki/Junko_Tabei,Japanese climber - first woman to summit Mt. Everest.,"As the first woman to summit Mount Everest, JUNKO TABEI is the very essence of supervocalic achievement. But let us not ignore the bio of BRUNO MATTEI: ""Italian director of many genres, including women-in-prison, nunsploitation, zombie, mondo, and cannibal. Your inner voice has now pronounced the word ""nunsploitation"". Twice, actually. Bet you didn't see that coming.", UOAEI Tudor Arghezi 98 (Romanian writer) Bruno Mattei 91 Rudolf Arnheim 90 Junko Tabei 78 Rudolf Jaenisch 76 (MIT scientist)
UOAIE,Luc Montagnier,https://en.wikipedia.org/wiki/Luc_Montagnier,Nobel Prize for discovering HIV,, UOAIE Juho Hanninen 96 Luc Montagnier 94 Rudolph Cartier 92 Just Fontaine 89 Burton Malkiel 73
UOEAI,Hugo Weaving,https://en.wikipedia.org/wiki/Hugo_Weaving,"Aussie actor; Agent Smith, <i>The Matrix</i>",, UOEAI Hugo Weaving 98 Hugo del Carril 81 Hugo de Garis 73 Hugo Bernatzik 62 Rudolph E. Tanzi 59
UOEIA,Juno Regina,https://en.wikipedia.org/wiki/Juno_(mythology)#Juno_Regina,,, UOEIA Hugo Weisgall 84 Luo Wen-jia 48 Guo Zhenqian 39 Rudolf V. Perina 36
UOIAE,Udonis Haslem,https://en.wikipedia.org/wiki/Udonis_Haslem,"NBA veteran, Miami Heat","Udonis was a fringe college player at the time, and is currently in his 18th season in the NBA.", UOIAE Udonis Haslem 89 Rudolf Kirchschlager 82 Ljubomir Vranjes 62 (Serbian Handball Coach) Ludovit Rajter 56 Rudolf Kingslake 46
UOIEA,Hugo Riemann,https://en.wikipedia.org/wiki/Hugo_Riemann,German composer/musicologist,"German composer/theorist (coined ""tonic"", ""dominant""); Tough choosing between all the Hugo's and Rudolf's", UOIEA Rudolf Spielmann 85 (Chess) Udo Zimmermann 84 Rudolf Biebrach 83 Hugo Riemann 80 Justo Sierra 78 Bud Podbielan (MLB)
